Country,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Happiness score,EPI.new,HLT.new,AIR.new,H2O.new,COE.new,BDH.new,Population (2020)
Iraq,59.12776446959836,58.60868618739491,66.35029484385404,52.365246754275745,38.27861217660528,38.78124747335322,94.85549673845428,46.83404098209341,15.084745762711862,28.33133253301321,28.90365448504983,47.05263157894737,19.7,26.40845070422536,40372771.0
Ireland,86.67539450691477,100.0,89.59509673208369,86.46865938519664,89.16268809293865,54.67707340069012,26.720150516449213,85.60088609931698,65.25423728813558,92.31692677070828,92.35880398671095,97.26315789473684,71.0,63.145539906103295,4947267.0
Israel,98.96706546832348,84.70626678759507,95.88302437778302,92.84928444835532,68.83529966203568,37.30048639221637,63.98514040600067,91.5635960863947,49.66101694915253,77.55102040816327,68.9922480620155,92.52631578947368,13.7,39.78873239436621,8678517.0
Italy,77.19318093262106,84.59388749544232,84.74227246760788,89.65897191677601,57.927105061593466,41.269569224965885,84.5714878785999,75.0046151006092,65.76271186440678,78.63145258103243,70.54263565891473,98.21052631578948,48.9,82.981220657277,60446035.0
Jamaica,71.17109688374134,60.205376049558254,84.56741742269614,65.34653232664488,85.6509168631986,27.396169223481568,95.985679375551,63.614546797120184,45.25423728813559,36.49459783913566,37.76301218161683,46.73684210526315,67.1,55.633802816901415,2963429.0
Japan,75.94519468516313,83.78613592029862,88.61313537961794,100.0,71.19029238101868,9.690033381530965,62.517922243205646,67.1035628576703,64.91525423728814,85.35414165666268,81.06312292358804,94.84210526315788,51.6,88.02816901408451,126407422.0
Jordan,47.6809178764281,59.1592915475556,72.1724045532821,69.74697266611855,66.20617135568196,19.57262534630003,71.50195510194365,32.26878345947942,41.86440677966102,48.979591836734706,49.83388704318937,60.73684210526316,23.0,21.478873239436624,10220604.0
Kazakhstan,73.2817674634534,76.4185520289459,91.88089610157743,63.58634947631634,87.11888694795712,40.566778966638296,72.2028474448147,70.70334133284106,37.288135593220325,31.332533013205285,25.35991140642303,52.8421052631579,60.2,50.23474178403757,18815231.0
Kenya,49.11305033671856,48.74519043293475,61.113876662198805,31.463155141775815,57.15796123451332,73.12089198008326,91.98558862457034,39.48680081225771,20.169491525423723,17.767106842737096,26.910299003322255,9.157894736842104,13.8,47.652582159624416,53968739.0
Kyrgyzstan,68.03280908669117,49.031737297687755,92.35638837869809,68.75688030427608,98.19557931767336,66.13692093805113,91.78205355216863,63.20841794351118,28.474576271186443,21.248499399759908,19.712070874861578,42.73684210526316,59.3,26.643192488262912,6542426.0
Laos,56.5354369141606,56.42919099811533,55.73421048407453,41.14411045953966,94.58593063304984,42.69743998453451,65.65863936336505,50.507661067011256,19.999999999999993,15.366146458583431,18.715393133997782,22.73684210526316,0.0,81.10328638497654,7293542.0
Latvia,74.03488110135704,80.02299349753025,92.50431598303724,64.90649500723663,75.96906148044317,40.152647510143694,87.77490023517636,69.70647960125531,71.52542372881354,54.6218487394958,50.27685492801772,56.94736842105263,55.6,92.1361502347418,1882408.0
Lebanon,16.612933627585182,63.98207717623649,40.48608638938218,63.69636719934226,13.747458203531409,22.85681479765632,92.64082866044652,10.171681742661995,22.54237288135593,41.89675870348139,39.31339977851606,57.68421052631578,20.8,8.215962441314556,6819976.0
Lithuania,89.27651522890105,83.22326986363805,93.6947404733002,70.4070454315787,57.78204984595325,15.035427824945426,67.78741197486873,74.61694664943695,62.71186440677965,60.50420168067227,58.36101882613511,56.210526315789465,57.4,92.25352112676056,2715340.0
Malawi,32.17090728339872,29.00933181315294,36.36185501152818,30.803082376315672,63.523154441319434,40.335161947666535,76.56563537554027,24.84770167989663,36.77966101694914,18.367346938775512,33.22259136212625,7.473684210526316,39.3,89.90610328638499,19211425.0
Malaysia,73.34554565379347,76.28263657833364,74.7879981057042,61.166127433223096,86.34419279608207,64.19679696296433,78.38453790328239,61.04855085840873,27.288135593220332,43.93757503001201,42.08194905869325,55.368421052631575,13.6,54.10798122065728,32436963.0
Mali,45.43115404487048,34.74076954480523,54.6413959963552,17.821780017598826,76.06395185143697,35.58483429978354,75.40085065390554,38.30533505630423,16.271186440677965,10.804321728691477,23.25581395348837,3.473684210526316,52.6,48.23943661971831,20346106.0
Malta,77.82536449533445,84.94456843716702,93.0320560032466,87.56876947006509,79.43337238743689,66.82930868161007,76.89366313696102,74.63540705187374,95.42372881355932,78.15126050420169,74.75083056478405,99.78947368421052,71.2,78.75586854460096,441750.0
Mauritius,69.15971735035417,73.46716467405588,87.07811370442666,53.13532045641409,72.76261866342122,33.39037087909933,78.32631662287696,67.69429573564705,43.89830508474575,55.46218487394958,49.83388704318937,63.68421052631579,97.6,14.319248826291082,1272140.0
Mexico,89.2887916430899,71.32366964210104,83.28800947975111,61.82620019868324,83.38585958889249,23.42814471676508,79.72255749356117,68.74653867454312,45.084745762711854,35.414165666266506,31.561461794019937,50.421052631578945,28.5,75.11737089201878,129166028.0
Moldova,68.32393019786196,65.81106344886985,77.78587780610295,61.386129306579505,77.9048230304168,27.44161050865267,92.86586565521844,63.743769614177594,40.33898305084745,36.734693877551024,38.53820598006645,47.368421052631575,62.1,51.64319248826291,4032294.0
Mongolia,69.89376556911395,63.32068766555946,95.5768173092708,38.94389028980282,59.03448568167575,63.48733417168945,88.11734490836032,61.97157098024738,18.135593220338983,14.885954381752704,10.188261351052049,40.21052631578947,61.6,72.65258215962442,3287242.0
Montenegro,68.87530389440583,70.28096308709328,87.09044297432018,67.54675249638171,73.3909658877038,45.48447945777741,87.83232847321183,58.02104485877793,47.45762711864406,35.89435774309724,27.685492801771872,63.78947368421051,61.5,54.929577464788736,628080.0
Morocco,51.4107069744731,56.888591789415045,44.3256101092923,53.90539415855244,72.18044004993274,7.460866366976479,82.49155470663447,49.03082887206941,16.101694915254235,20.648259303721495,18.826135105204873,37.78947368421052,44.9,12.67605633802817,36985624.0
Mozambique,53.63760413574644,26.131555553192385,63.771208535321165,0.0,87.31361252476202,43.53729826609857,68.14269495660778,48.809304042828145,21.69491525423728,20.28811524609844,35.65891472868217,11.999999999999996,60.9,69.71830985915494,31398811.0
Myanmar,47.03624343204907,45.51266718394086,72.87482629959321,43.12431196957243,44.53073013008951,99.107958545759,66.0392174040929,36.73620084917851,0.8474576271186436,12.244897959183676,12.403100775193796,27.263157894736835,23.1,18.779342723004696,54473253.0
Namibia,56.88348065184431,59.11412714514296,76.6262331608713,24.09240414407921,53.188005647203184,23.558919315573725,88.33968855168712,37.93612700756876,54.23728813559321,15.366146458583431,18.272425249169434,15.473684210526317,61.0,79.92957746478875,2548663.0
Nepal,65.02919207420649,45.2336268680653,69.3986654648583,45.65456852203931,80.56395336516192,56.2250386030595,77.25364452066547,54.8827764445265,15.932203389830503,6.842737094837936,4.208194905869325,23.26315789473684,0.0,53.16901408450705,29225196.0
Netherlands,94.73671667487406,89.43986523242583,92.61249055486344,87.45875174703917,84.60560905732274,64.74349999264976,39.46532148226278,92.50507661067012,74.0677966101695,86.31452581032414,78.7375415282392,100.0,60.4,87.20657276995306,17141544.0
New Zealand,88.30577626549447,84.5327716766651,96.1389217226275,82.17823676874895,78.27087199639126,60.23940176711312,17.01903902080814,88.5360900867639,64.0677966101695,88.23529411764707,96.89922480620156,79.36842105263159,100.0,83.09859154929578,4829021.0
Nicaragua,79.26803544370873,51.446844289858205,81.39541534326433,61.496147029605424,92.37684081567572,37.74056767355125,53.37789944660421,69.42957356470372,31.864406779661017,30.852340936374553,35.991140642303435,39.89473684210526,73.1,63.732394366197184,6638075.0
Nigeria,49.59878958993356,48.7829108410439,67.85009340997571,14.52144976299357,60.5029199754171,43.87120902184792,96.27450391038158,39.65294443418867,15.932203389830503,4.561824729891956,8.970099667774088,0.0,4.5,46.83098591549297,206984347.0
North Macedonia,60.263258827763295,68.98278365195637,82.11807599970734,65.78656964605318,60.05529132645698,46.490554970628274,99.44637412892293,51.59682481078087,59.99999999999998,30.132052821128458,18.715393133997782,59.05263157894736,55.2,61.15023474178405,2083359.0
Norway,93.26283701091133,91.57752705035716,92.30358916666842,87.12873215065679,96.61446333909558,59.98451595923767,21.276359797861733,91.58205648883148,68.47457627118644,96.99879951980792,96.01328903654486,100.0,63.3,76.7605633802817,5428594.0
Pakistan,49.716177254041625,49.78284570609375,50.2493397882773,25.082513292269457,66.98048203057118,39.07203502527414,75.03338773840908,38.98836994646484,9.66101694915254,0.0,0.0,13.157894736842104,0.0,37.08920187793427,221612785.0
